Rank By Coffee Consumption,Country,Coffee Consumption (Lbs per Person Per Year)
1,Finland,26.45
2,Norway,21.82
3,Iceland,19.84
4,Denmark,19.18
5,Netherlands,18.52
6,Sweden,18
7,Switzerland,17.42
8,Belgium,15
9,Luxembourg,14.33
10,Canada,14.33
11,Bosnia and Herzegovina,13.67
12,Austria,13.45
13,Italy,13
14,Brazil,12.79
15,Slovenia,12.79
16,Germany,12.13
17,Greece,11.9
18,France,11.9
19,Croatia,11.24
20,Cyprus,10.8
21,Lebanon,10.58
22,Estonia,9.92
23,Spain,9.92
24,Portugal,9.48
25,United States,9.26
