Rank By liver Death Rate,Country,Death Rate
1,Mongolia,84.53
2,Egypt,34.11
3,Gambia,30.83
4,Laos,25.37
5,Cambodia,25.17
6,Tonga,24.58
7,Viet Nam,24.37
8,Thailand,23.18
9,Guinea,19.78
10,Ghana,17.60
11,Liberia,17.19
12,North Korea,16.66
13,Guatemala,16.25
14,Solomon Isl.,15.26
15,Burkina Faso,14.45
16,Vanuatu,14.32
17,Senegal,13.96
18,Guinea-Bissau,13.32
19,Cape Verde,12.90
20,Mauritania,12.80
21,South Korea,12.57
22,New Guinea,12.14
23,Kiribati,11.85
24,Rwanda,11.48
25,Nicaragua,10.93
26,Brunei,10.79
27,Myanmar,10.79
28,Micronesia,10.45
29,Sierra Leone,10.33
30,Philippines,9.73
31,DR Congo,9.59
32,Belize,9.53
33,China,9.30
34,Sao Tome,9.21
35,Maldives,9.20
36,Cote d Ivoire,9.12
37,Kyrgyzstan,9.07
38,Fiji,9.03
39,Albania,8.97
40,Armenia,8.82
41,Haiti,8.80
42,Moldova,8.77
43,Indonesia,8.53
44,Suriname,8.43
45,Romania,8.33
46,Singapore,8.32
47,Niger,7.86
48,No Macedonia,7.85
49,Zimbabwe,7.78
50,Uganda,7.69
51,Togo,7.53
52,Bosnia/Herzeg.,7.48
53,Mozambique,7.47
54,Peru,7.43
55,Burundi,7.21
56,Bolivia,7.02
57,Malaysia,6.96
58,Cameroon,6.88
59,Madagascar,6.77
60,Dominican Rep.,6.73
61,France,6.66
62,Japan,6.62
63,Benin,6.58
64,Mali,6.55
65,Saint Vincent,6.53
66,Comoros,6.45
67,Turkmenistan,6.40
68,Congo,6.39
69,South Sudan,6.30
70,Costa Rica,6.19
71,Nigeria,6.19
72,Kuwait,6.12
73,Timor-Leste,6.09
74,Slovenia,6.04
75,Georgia,5.98
76,Italy,5.97
77,Chad,5.97
78,Ecuador,5.94
79,Honduras,5.92
80,Bhutan,5.90
81,Equ. Guinea,5.77
82,Kenya,5.77
83,Greece,5.75
84,Mexico,5.75
85,Tanzania,5.65
86,El Salvador,5.51
87,South Africa,5.46
88,Kazakhstan,5.46
89,Iran,5.46
90,Seychelles,5.44
91,Portugal,5.44
92,Serbia,5.39
93,Croatia,5.38
94,Central Africa,5.31
95,Grenada,5.20
96,Turkey,5.13
97,Chile,5.09
98,Arab Emirates,5.05
99,Samoa,4.91
100,Uzbekistan,4.90
101,Spain,4.88
102,Yemen,4.88
103,Tajikistan,4.82
104,Saudi Arabia,4.82
105,Brazil,4.81
106,Lesotho,4.78
107,Austria,4.78
108,Slovakia,4.70
109,Oman,4.70
110,United States,4.69
111,Montenegro,4.63
112,Australia,4.61
113,Qatar,4.56
114,Bulgaria,4.53
115,Russia,4.52
116,Luxembourg,4.48
117,Switzerland,4.35
118,Botswana,4.32
119,Afghanistan,4.22
120,Canada,4.21
121,Hungary,4.19
122,Swaziland,4.15
123,Lithuania,4.10
124,Sudan,4.10
125,Panama,4.09
126,Guyana,4.07
127,Czech Republic,4.05
128,Sri Lanka,4.05
129,Germany,4.03
130,Cuba,4.02
131,Finland,4.01
132,Ireland,3.97
133,Latvia,3.97
134,Angola,3.96
135,Estonia,3.91
136,Antigua/Bar.,3.89
137,Belgium,3.89
138,Azerbaijan,3.86
139,Colombia,3.82
140,Iceland,3.82
141,Bahrain,3.81
142,Venezuela,3.76
143,Gabon,3.71
144,Denmark,3.71
145,Libya,3.69
146,United Kingdom,3.64
147,Malta,3.63
148,Somalia,3.62
149,Argentina,3.60
150,Trinidad/Tob.,3.58
151,Eritrea,3.56
152,Jordan,3.51
153,New Zealand,3.48
154,Syria,3.43
155,Lebanon,3.41
156,Sweden,3.36
157,Cyprus,3.28
158,Malawi,3.24
159,Pakistan,3.19
160,Netherlands,3.18
161,Jamaica,3.14
162,Poland,3.10
163,Bahamas,3.07
164,Namibia,3.04
165,Iraq,3.04
166,Mauritius,3.04
167,Ethiopia,3.00
168,Israel,2.97
169,Ukraine,2.91
170,Barbados,2.86
171,Tunisia,2.83
172,Paraguay,2.68
173,Djibouti,2.67
174,Uruguay,2.67
175,India,2.67
176,Norway,2.59
177,Belarus,2.31
178,Bangladesh,2.29
179,Zambia,2.22
180,Saint Lucia,1.64
181,Algeria,1.52
182,Morocco,1.24
183,Nepal,1.19
