,Rank By Coffee Consumption,Country,Coffee Consumption (Lbs per Person Per Year),Rank By liver Death Rate,Death Rate
0,1,Finland,26.45,131,4.01
1,2,Norway,21.82,176,2.59
2,3,Iceland,19.84,140,3.82
3,4,Denmark,19.18,144,3.71
4,5,Netherlands,18.52,160,3.18
5,6,Sweden,18.0,156,3.36
6,7,Switzerland,17.42,117,4.35
7,8,Belgium,15.0,137,3.89
8,9,Luxembourg,14.33,116,4.48
9,10,Canada,14.33,120,4.21
10,12,Austria,13.45,107,4.78
11,13,Italy,13.0,76,5.97
12,14,Brazil,12.79,105,4.81
13,15,Slovenia,12.79,74,6.04
14,16,Germany,12.13,129,4.03
15,17,Greece,11.9,83,5.75
16,18,France,11.9,61,6.66
17,19,Croatia,11.24,93,5.38
18,20,Cyprus,10.8,157,3.28
19,21,Lebanon,10.58,155,3.41
20,22,Estonia,9.92,135,3.91
21,23,Spain,9.92,101,4.88
22,24,Portugal,9.48,91,5.44
23,25,United States,9.26,110,4.69
